customerid,customername,customertype,country,city,state,postcode,regiontype
TB-21625,Trudy Brown,Consumer,United States,Grand Prairie,Texas,75051,Central
TC-20980,Tamara Chand,Corporate,United States,Seattle,Washington,98105,West
TC-21145,Theresa Coyne,Corporate,United States,Lakewood,New Jersey,8701,East
TC-21295,Toby Carlisle,Consumer,United States,San Diego,California,92024,West
TC-21475,Tony Chapman,Home Office,United States,Columbus,Georgia,31907,South
TC-21535,Tracy Collins,Home Office,United States,Arlington,Virginia,22204,South
TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852,East
TG-21310,Toby Gnade,Consumer,United States,Los Angeles,California,90049,West
TG-21640,Trudy Glocke,Consumer,United States,Long Beach,California,90805,West
TH-21100,Thea Hendricks,Consumer,United States,Los Angeles,California,90045,West
TH-21115,Thea Hudgings,Corporate,United States,Philadelphia,Pennsylvania,19140,East
TH-21235,Tiffany House,Corporate,United States,Dallas,Texas,75081,Central
TH-21550,Tracy Hopkins,Home Office,United States,New York City,New York,10035,East
TM-21010,Tamara Manning,Consumer,United States,San Francisco,California,94122,West
TM-21490,Tony Molinari,Consumer,United States,Oklahoma City,Oklahoma,73120,Central
TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,West
TP-21130,Theone Pippenger,Consumer,United States,Philadelphia,Pennsylvania,19134,East
TP-21415,Tom Prescott,Consumer,United States,Seattle,Washington,98115,West
TP-21565,Tracy Poddar,Corporate,United States,Aurora,Colorado,80013,West
TR-21325,Toby Ritter,Consumer,United States,Belleville,New Jersey,7109,East
TS-21085,Thais Sissman,Consumer,United States,Phoenix,Arizona,85023,West
TS-21160,Theresa Swint,Corporate,United States,Toledo,Ohio,43615,East
TS-21205,Thomas Seio,Corporate,United States,Hackensack,New Jersey,7601,East
TS-21340,Toby Swindell,Consumer,United States,Houston,Texas,77041,Central
TS-21370,Todd Sumrall,Corporate,United States,New York City,New York,10035,East
TS-21430,Tom Stivers,Corporate,United States,Los Angeles,California,90045,West
TS-21505,Tony Sayre,Consumer,United States,Columbia,Tennessee,38401,South
TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West
TS-21655,Trudy Schmidt,Consumer,United States,Milwaukee,Wisconsin,53209,Central
TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West
TT-21220,Thomas Thornton,Consumer,United States,Houston,Texas,77041,Central
TT-21265,Tim Taslimi,Corporate,United States,Los Angeles,California,90045,West
TT-21460,Tonja Turnell,Home Office,United States,Aurora,Illinois,60505,Central
TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West
TZ-21580,Tracy Zic,Consumer,United States,Louisville,Colorado,80027,West
VB-21745,Victoria Brennan,Corporate,United States,Columbus,Georgia,31907,South
VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,38401,South
VF-21715,Vicky Freymann,Home Office,United States,Columbus,Indiana,47201,Central
VG-21790,Vivek Gonzalez,Consumer,United States,San Diego,California,92037,West
VG-21805,Vivek Grady,Corporate,United States,Virginia Beach,Virginia,23464,South
VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East
VM-21835,Vivian Mathis,Consumer,United States,Newark,Delaware,19711,East
VP-21730,Victor Preis,Home Office,United States,Las Vegas,Nevada,89115,West
VP-21760,Victoria Pisteka,Corporate,United States,San Francisco,California,94109,West
VS-21820,Vivek Sundaresam,Consumer,United States,Los Angeles,California,90036,West
VT-21700,Valerie Takahito,Home Office,United States,Philadelphia,Pennsylvania,19143,East
VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East
WB-21850,William Brown,Consumer,United States,Philadelphia,Pennsylvania,19134,East
XP-21865,Xylona Preis,Consumer,United States,San Diego,California,92024,West
YC-21895,Yoseph Carroll,Corporate,United States,San Francisco,California,94110,West
YS-21880,Yana Sorensen,Corporate,United States,Burlington,North Carolina,27217,South
ZC-21910,Zuschuss Carroll,Consumer,United States,Salem,Oregon,97301,West
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
